Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66ce2dea533749dbf15b2ad3,6315ffdb9876ded7feefaf07,APPROVED,Not Applicable,2024-08-27T19:50:48.140000Z,2024-08-27T20:12:25.473000Z,2024-08-28T20:09:00.478000Z,2024-08-27T20:12:26.066124Z,1298.0,CVRK3FRJ,145,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
66ce2deca5ad97f9c0a4b191,66cdd1ad42828e8da522ddb1,APPROVED,Not Applicable,2024-08-27T19:50:14.382000Z,2024-08-27T20:43:06.123000Z,2024-08-28T20:08:34.421000Z,2024-08-27T20:43:06.652904Z,3172.0,CVRK3FRJ,7,29,Male,Mixed,South Africa,United Kingdom,South Africa,English,No,Full-Time
66ce2df628e557960b95f750,5997043dbbe84800017964a7,APPROVED,Not Applicable,2024-08-27T19:50:21.306000Z,2024-08-27T20:10:25.924000Z,2024-08-28T20:08:35.669000Z,2024-08-27T20:10:28.533768Z,1205.0,CVRK3FRJ,781,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66ce2e091e40eb9d5e3d090d,66a90befd4b58c2cfb86e72a,APPROVED,Not Applicable,2024-08-27T19:50:39.831000Z,2024-08-27T20:31:31.626000Z,2024-08-28T20:08:52.530000Z,2024-08-27T20:31:32.381792Z,2452.0,CVRK3FRJ,15,30,Female,Mixed,Canada,Canada,Canada,English,No,Unemployed (and job seeking)
66ce2e106865e5ca29bcfd53,5dff767f69a117bc2fbd4be8,APPROVED,Not Applicable,2024-08-27T19:50:40.548000Z,2024-08-27T20:36:46.710000Z,2024-08-28T20:09:17.223000Z,2024-08-27T20:38:20.439924Z,2767.0,CVRK3FRJ,1167,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
66ce2e11a37d1b0485fb7f0a,6008793f0294554adc85c346,APPROVED,Not Applicable,2024-08-27T19:50:41.584000Z,2024-08-27T20:34:08.752000Z,2024-08-28T20:09:12.434000Z,2024-08-27T20:34:09.329527Z,2608.0,CVRK3FRJ,666,51,Female,Asian,Korea,Canada,Korea,Korean,DATA_EXPIRED,Part-Time
66ce2e127bf93b336985aabc,6655a626a0a93488c8fb143b,APPROVED,Not Applicable,2024-08-27T19:50:55.204000Z,2024-08-27T20:04:55.992000Z,2024-08-28T20:09:28.190000Z,2024-08-27T20:04:56.693461Z,841.0,CVRK3FRJ,129,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66ce2f140bebe43c848439de,66469f5d40d395a527be84c8,APPROVED,Not Applicable,2024-08-27T19:55:04.916000Z,2024-08-27T20:41:30.158000Z,2024-08-28T20:09:14.099000Z,2024-08-27T20:41:30.731609Z,2786.0,CVRK3FRJ,75,40,Male,Mixed,Fiji,Canada,Fiji,English,No,Full-Time
66ce2f6afa11b7db795b7b85,5e63cacbe43f28152567f42b,APPROVED,Not Applicable,2024-08-27T19:56:31.401000Z,2024-08-27T20:27:45.490000Z,2024-08-28T20:08:54.471000Z,2024-08-27T20:28:13.822625Z,1875.0,CVRK3FRJ,1476,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
66ce3022f90a486b0ca13218,60188c50141a9415c30301e0,APPROVED,Not Applicable,2024-08-27T19:59:42.066000Z,2024-08-27T20:26:36.600000Z,2024-08-28T20:08:56.739000Z,2024-08-27T20:27:16.339674Z,1615.0,CVRK3FRJ,460,52,Male,White,Canada,Canada,Canada,English,No,Full-Time
