Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66c65ce4e696fd50be059f84,66c535b047ab0893183e06d8,APPROVED,Not Applicable,2024-08-21T21:32:47.759000Z,2024-08-21T22:32:17.631000Z,2024-08-26T01:46:30.305000Z,2024-08-21T22:32:18.857006Z,3570.0,CVRK3FRJ,6,38,Male,Black,Nigeria,Canada,Nigeria,English,No,Full-Time
66c65cec1bd710a756afcdc0,666c6ddc652f38b0355bc344,APPROVED,Not Applicable,2024-08-21T21:32:36.865000Z,2024-08-21T21:45:46.298000Z,2024-08-26T01:46:27.826000Z,2024-08-21T21:47:32.806719Z,790.0,CVRK3FRJ,37,26,Female,White,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66c65cf2347a55540ff275b7,5ba855d47c0ebe0001272f70,APPROVED,Not Applicable,2024-08-21T21:34:52.465000Z,2024-08-21T22:00:39.717000Z,2024-08-26T01:49:02.345000Z,2024-08-21T22:02:29.011159Z,1548.0,CVRK3FRJ,2027,30,Male,White,Albania,United States,United States,Albanian,DATA_EXPIRED,DATA_EXPIRED
66c65cf772d43c4e2551c64a,628254ec789e78a3dcd22d99,APPROVED,Not Applicable,2024-08-21T21:32:50.455000Z,2024-08-21T21:53:07.132000Z,2024-08-26T01:47:03.748000Z,2024-08-21T21:53:07.834686Z,1217.0,CVRK3FRJ,105,30,Female,White,United States,Canada,Canada,English,No,Full-Time
66c65cf84a4a7f7922a4dbd4,611116ac01f43eeeb3cdeff3,APPROVED,Not Applicable,2024-08-21T21:32:45.733000Z,2024-08-21T21:46:27.191000Z,2024-08-26T01:47:01.931000Z,2024-08-21T21:47:50.282923Z,822.0,CVRK3FRJ,380,34,Female,White,Canada,Canada,Canada,English,No,Full-Time
66c65cfeb9f1d38965377294,66c5d1accc092f147f94b363,APPROVED,Not Applicable,2024-08-21T21:32:52.456000Z,2024-08-21T21:52:15.439000Z,2024-08-26T01:46:32.643000Z,2024-08-21T21:52:16.108655Z,1163.0,CVRK3FRJ,2,20,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
66c65d043afa83a1ba51727f,62bb4c95ca36f792585cb4b5,APPROVED,Not Applicable,2024-08-21T21:32:57.758000Z,2024-08-21T21:46:11.889000Z,2024-08-26T01:46:34.574000Z,2024-08-21T21:47:46.757648Z,795.0,CVRK3FRJ,67,22,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66c65d0bd79879039ff3473e,652d36620eca7decc5bd4466,APPROVED,Not Applicable,2024-08-21T21:33:05.894000Z,2024-08-21T22:00:52.866000Z,2024-08-26T01:47:07.310000Z,2024-08-21T22:02:29.875402Z,1667.0,CVRK3FRJ,98,23,Female,Black,Canada,Canada,Canada,English,Yes,Full-Time
66c65d108868bc628d417bf8,6672eb5ae4c4aa0c62b18d46,APPROVED,Not Applicable,2024-08-21T21:33:23.957000Z,2024-08-21T22:28:33.871000Z,2024-08-26T01:46:38.264000Z,2024-08-21T22:28:34.488704Z,3310.0,CVRK3FRJ,67,39,Female,Other,Egypt,United Kingdom,Egypt,Arabic,No,Other
66c65d12bab059f2c5ed6cec,60fcd02deba2c8e1ed1f0723,APPROVED,Not Applicable,2024-08-21T21:33:10.210000Z,2024-08-21T21:58:19.690000Z,2024-08-26T01:46:35.636000Z,2024-08-21T21:58:20.681338Z,1510.0,CVRK3FRJ,58,22,Female,White,United States,United States,United States,English,No,Part-Time
66c65d1479e3346ddf0aa1ca,6681577c9263349cc005ad9b,APPROVED,Not Applicable,2024-08-21T21:33:14.174000Z,2024-08-21T22:14:51.340000Z,2024-08-26T01:47:46.684000Z,2024-08-21T22:16:08.273434Z,2498.0,CVRK3FRJ,9,22,Male,Other,Cameroon,Canada,Cameroon,French,Yes,DATA_EXPIRED
66c65d15a69225b2902c090b,669eb09f44fd00f288eb8eb6,APPROVED,Not Applicable,2024-08-21T21:33:16.420000Z,2024-08-21T21:47:23.712000Z,2024-08-26T01:47:06.454000Z,2024-08-21T21:48:07.900811Z,848.0,CVRK3FRJ,5,36,Female,White,Canada,Canada,Canada,English,No,Full-Time
66c65d19aee82ab64c7bcd22,597fe89a1b41a20001749f57,APPROVED,Not Applicable,2024-08-21T21:33:21.192000Z,2024-08-21T21:55:18.297000Z,2024-08-26T01:47:09.806000Z,2024-08-21T21:55:19.076086Z,1318.0,CVRK3FRJ,9295,46,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
66c65d1a5a32eeec9f05a24d,63ea445c759d5bf0e3f63739,APPROVED,Not Applicable,2024-08-21T21:33:14.124000Z,2024-08-21T22:08:39.632000Z,2024-08-26T01:46:36.630000Z,2024-08-21T22:08:40.532315Z,2126.0,CVRK3FRJ,233,22,Male,Black,Kenya,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
66c65d1d92458c8dcde61003,6678757b671f246b4c1b4f6c,APPROVED,Not Applicable,2024-08-21T21:40:50.234000Z,2024-08-21T22:12:16.542000Z,2024-08-26T01:48:58.101000Z,2024-08-21T22:12:17.117031Z,1887.0,CVRK3FRJ,32,27,Female,Asian,United States,United States,United States,Chinese,No,Part-Time
66c65d26368a77231b9e1d17,665f9223c7db27a5d32d81ab,APPROVED,Not Applicable,2024-08-21T21:37:10.787000Z,2024-08-21T22:37:40.127000Z,2024-08-26T01:48:18.081000Z,2024-08-21T22:37:40.662883Z,3630.0,CVRK3FRJ,20,22,Male,Black,Nigeria,Canada,Canada,English,No,Full-Time
66c65d2ef1bc157f83a2cb34,5f4fc497a3b4320c8928639e,APPROVED,Not Applicable,2024-08-21T21:33:38.264000Z,2024-08-21T21:53:11.782000Z,2024-08-26T01:47:48.159000Z,2024-08-21T21:53:12.455261Z,1174.0,CVRK3FRJ,1506,61,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66c65d354e77fff0e931e06a,641ecfa9f83175a3d9f63636,APPROVED,Not Applicable,2024-08-21T21:33:46.484000Z,2024-08-21T21:55:27.906000Z,2024-08-26T01:48:26.871000Z,2024-08-21T21:55:28.698650Z,1302.0,CVRK3FRJ,786,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66c65d3beff72f247d87f7e5,5955a3eb98c9c400019f5c5f,APPROVED,Not Applicable,2024-08-21T21:33:57.588000Z,2024-08-21T22:04:01.485000Z,2024-08-26T01:47:49.067000Z,2024-08-21T22:04:21.754435Z,1804.0,CVRK3FRJ,2790,26,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
