Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66c6147a9a214b469f647bc4,66c5f3b24507c79830b451a7,APPROVED,Not Applicable,2024-08-21T16:23:33.418000Z,2024-08-21T16:39:55.823000Z,2024-08-21T21:04:38.613000Z,2024-08-21T16:39:56.489524Z,983.0,CVRK3FRJ,1,38,Male,White,Canada,Canada,Canada,English,No,Full-Time
66c61480c2c59a9a9cf10e74,5da34f2837c5e20015a1254c,RETURNED,Not Applicable,2024-08-21T16:25:02.614000Z,,,2024-08-22T17:02:33.863819Z,,,1322,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66c61483b697685dae0f803a,66c4dee716f98496f9638591,APPROVED,Not Applicable,2024-08-21T16:23:35.121000Z,2024-08-21T16:35:18.586000Z,2024-08-21T21:04:56.300000Z,2024-08-21T16:37:08.823083Z,704.0,CVRK3FRJ,0,30,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
66c61484256d9451162bfea1,665c72ef8e6e166f13aee9f6,APPROVED,Not Applicable,2024-08-21T16:23:42.098000Z,2024-08-21T17:04:11.816000Z,2024-08-21T21:04:40.312000Z,2024-08-21T17:05:18.928098Z,2430.0,CVRK3FRJ,82,26,Female,Black,Nigeria,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
66c61485424e2250134c1654,66749cdc22d63c998e25f468,RETURNED,Not Applicable,2024-08-21T16:23:39.419000Z,,,2024-08-22T17:02:33.866454Z,,,25,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66c6148628243ee82ef2ea78,669a3ee91bd71209de5a97d9,RETURNED,Not Applicable,2024-08-21T16:23:45.918000Z,,,2024-08-22T17:02:33.867264Z,,,58,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66c6148760ebec4cf22876f4,59a734ce0c87a000017481ed,RETURNED,Not Applicable,2024-08-21T16:23:41.642000Z,,,2024-08-22T17:02:33.868686Z,,,1938,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66c614886c595f3c14620658,66ade2c28a85033cab570717,APPROVED,Not Applicable,2024-08-21T16:23:41.082000Z,2024-08-21T16:40:46.197000Z,2024-08-21T21:04:57.200000Z,2024-08-21T16:40:46.794801Z,1026.0,CVRK3FRJ,6,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66c61488910186edf79dbedc,665696ff9aa0436df28cf7c4,REJECTED,Not Applicable,2024-08-21T16:23:47.335000Z,2024-08-21T17:16:34.875000Z,2024-08-21T20:08:44.679000Z,2024-08-22T17:02:33.870654Z,3168.0,NOCODE,32,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66c6148b12cdc56912254e0b,663e5c83c1599fe4e23d98ae,APPROVED,Not Applicable,2024-08-21T16:23:45.443000Z,2024-08-21T16:48:14.218000Z,2024-08-21T21:04:42.793000Z,2024-08-21T16:48:14.965005Z,1469.0,CVRK3FRJ,62,20,Male,Asian,United States,United States,United States,English,Yes,Unemployed (and job seeking)
