Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66cf850ed8f67cc67623419b,5deb9c5a4de9422935efe5e7,APPROVED,Not Applicable,2024-08-28T20:14:23.951000Z,2024-08-28T20:39:50.071000Z,2024-08-28T21:05:10.197000Z,2024-08-28T20:40:11.785404Z,1527.0,CVRK3FRJ,2053,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66cf865b57f665bc15766c0a,610f7244c65ae4e57858a700,APPROVED,Not Applicable,2024-08-28T20:19:45.029000Z,2024-08-28T20:52:02.591000Z,2024-08-28T21:05:01.854000Z,2024-08-28T20:52:04.127441Z,1938.0,CVRK3FRJ,550,23,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
66cf86676ffcb0f0507f4a16,6131597390b9cf1cfc3e8a76,APPROVED,Not Applicable,2024-08-28T20:19:55.593000Z,2024-08-28T20:49:05.143000Z,2024-08-28T21:05:02.704000Z,2024-08-28T20:50:52.422304Z,1750.0,CVRK3FRJ,156,31,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66cf86a33418f64a07d6c96a,66bcc667ba1619c089fecbbb,APPROVED,Not Applicable,2024-08-28T20:20:57.711000Z,2024-08-28T20:33:19.179000Z,2024-08-28T21:05:04.274000Z,2024-08-28T20:33:19.982299Z,742.0,CVRK3FRJ,4,25,Female,White,United States,United States,United States,English,Yes,Other
66cf871010ddc5acf53e4c48,66ce0e269e0d2cd124df4887,APPROVED,Not Applicable,2024-08-28T20:22:52.485000Z,2024-08-28T20:48:04.173000Z,2024-08-28T21:05:14.579000Z,2024-08-28T20:50:05.852984Z,1512.0,CVRK3FRJ,1,29,Female,White,United States,Canada,Canada,French,No,Unemployed (and job seeking)
66cf875f73ba2bfff8b99453,6658bba67f3c13a15a86d803,APPROVED,Not Applicable,2024-08-28T20:24:08.626000Z,2024-08-28T20:39:33.538000Z,2024-08-28T21:05:11.465000Z,2024-08-28T20:40:05.988614Z,925.0,CVRK3FRJ,167,32,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66cf8985e831ef8a6a262eaa,5ee1cf1e0df8e55c6b9e1f1a,APPROVED,Not Applicable,2024-08-28T20:34:28.505000Z,2024-08-28T20:53:54.846000Z,2024-08-28T21:05:05.037000Z,2024-08-28T20:53:55.370097Z,1167.0,CVRK3FRJ,1345,26,Female,Other,Canada,Canada,Canada,Bengali,No,Full-Time
66cf8a84d29a5d9340a80f5c,66ccc8f8819490330c532373,APPROVED,Not Applicable,2024-08-28T20:37:27.024000Z,2024-08-28T21:02:42.894000Z,2024-08-28T21:05:15.665000Z,2024-08-28T21:02:44.075802Z,1516.0,CVRK3FRJ,9,30,Male,White,Australia,United Kingdom,Australia,English,No,Full-Time
66cf85d42dffff644ddffb47,65f9990cc3ced72a9564dc03,RETURNED,Not Applicable,2024-08-28T20:17:30.404000Z,,,,,,185,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66cf860c1a4e4397dac1736e,66acfdc1a0bd20d5affa7783,RETURNED,Not Applicable,2024-08-28T20:18:24.551000Z,,,,,,32,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66cf86b8f61f64a5837c734c,66b4c93eba2cec5de1780955,REJECTED,Not Applicable,2024-08-28T20:21:18.023000Z,2024-08-28T20:34:51.638000Z,2024-08-28T20:37:21.822000Z,2024-08-28T20:35:28.637000Z,814.0,NOCODE,36,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66cf870c923deed30355141d,55b7b17bfdf99b2416be11fc,RETURNED,Not Applicable,2024-08-28T20:22:44.233000Z,,,,,,540,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66cf88cad7b699f67e84ca75,63d79d53ec3bf658736d2a5d,RETURNED,Not Applicable,2024-08-28T20:30:10.642000Z,,,,,,259,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
